country,m_pd_bw_30_70,m_pd_bw_30_70_male,m_pd_bw_30_70_female,m_cr_suicide_r,m_cr_suicide_r_male,m_cr_suicide_r_female,Prob_death_growth_rate,crude_suicide_growth_rate,DD_total_cases,DD_perc_of_pop,AD_total_cases,AD_perc_of_pop
nepal,24.18,27.18,21.4,11.26,12.04,10.48,20.15,42.86,890361.0,3.2,999454.0,3.6
netherlands,13.02,15.34,10.64,10.96,14.56,7.38,30.86,-28.57,752777.0,4.7,1024103.0,6.4
new zealand,12.3,14.3,10.32,12.68,19.06,6.56,36.48,6.2,221338.0,5.4,302816.0,7.3
nicaragua,16.14,16.48,15.86,13.7,21.18,6.42,27.18,29.07,238161.0,4.2,257009.0,4.5
niger,20.42,20.1,20.66,4.74,5.94,3.48,0.5,0.0,653348.0,3.4,485497.0,2.5
nigeria,23.66,21.48,25.62,9.78,9.42,10.14,11.76,6.86,7079815.0,3.9,4894557.0,2.7
norway,11.24,13.48,9.02,12.64,16.8,8.42,35.21,8.27,227446.0,4.7,352815.0,7.4
oman,20.26,22.02,17.72,3.88,5.78,0.9,23.93,9.3,199961.0,4.7,176827.0,4.1
pakistan,25.7,27.58,23.64,3.16,2.84,3.52,7.49,14.71,7436224.0,4.2,6262026.0,3.5
panama,13.84,15.98,11.84,5.12,8.72,1.48,13.33,28.33,162293.0,4.4,166598.0,4.5
papua new guinea,29.72,32.86,26.74,6.06,8.52,3.52,3.85,15.49,223094.0,3.0,237578.0,3.2
paraguay,18.96,20.1,17.84,9.78,12.96,6.5,17.45,5.94,332628.0,5.2,483755.0,7.6
peru,13.66,14.98,12.42,4.82,7.0,2.68,17.65,3.92,1443513.0,4.8,1730005.0,5.7
philippines,27.3,33.04,21.76,2.96,4.14,1.8,0.0,-28.0,3298652.0,3.3,3075517.0,3.1
poland,21.1,29.02,13.76,17.04,30.16,4.78,24.6,4.14,1878988.0,5.1,1439553.0,3.9
portugal,12.78,17.5,8.4,11.98,18.98,5.54,29.3,-86.67,578234.0,5.7,502452.0,4.9
qatar,16.42,16.82,15.92,5.16,6.72,0.92,16.39,-94.12,105684.0,5.1,87955.0,4.2
republic of korea,11.34,15.76,7.06,26.18,35.88,16.42,52.73,-81.76,1904645.0,4.1,1759818.0,3.8
republic of moldova,29.08,37.6,21.74,17.76,31.32,5.22,21.94,3.05,207247.0,5.4,122481.0,3.2
romania,23.62,31.7,16.06,12.34,21.02,4.16,18.94,21.21,931842.0,5.0,688815.0,3.7
russian federation,31.16,43.74,20.2,41.46,74.28,12.86,31.35,41.06,7815714.0,5.5,4428232.0,3.1
rwanda,21.64,22.72,20.84,9.5,12.62,6.5,39.53,57.05,425516.0,3.8,358986.0,3.2
saint lucia,21.38,23.06,19.8,6.22,10.98,1.62,24.5,-21.87,8892.0,4.9,10640.0,5.9
saint vincent and the grenadines,22.86,24.96,20.72,4.92,8.5,1.26,5.69,61.9,5144.0,4.9,6187.0,5.8
samoa,24.22,30.42,17.52,5.74,8.78,2.44,30.17,46.99,5803.0,3.2,5975.0,3.3
sao tome and principe,18.9,18.56,19.26,2.08,2.76,1.4,6.57,-15.0,7270.0,3.9,5085.0,2.7
saudi arabia,17.62,19.3,15.44,3.12,4.5,1.34,13.23,-14.29,1339976.0,4.5,1276716.0,4.3
senegal,19.94,20.78,19.28,6.98,10.54,3.58,15.02,22.08,560991.0,3.9,397168.0,2.7
serbia,23.26,29.28,17.38,17.26,25.26,9.62,32.98,25.71,419302.0,5.0,323690.0,3.8
seychelles,22.56,30.3,14.52,9.18,15.92,2.48,12.03,-6.9,3722.0,4.0,3068.0,3.3
sierra leone,32.58,31.02,34.02,9.94,11.76,8.2,16.89,12.61,243895.0,3.9,172958.0,2.8
singapore,12.14,15.34,8.96,10.58,14.16,7.1,44.64,20.16,162203.0,4.6,127570.0,3.6
slovakia,20.7,28.72,13.38,13.54,23.64,3.98,32.02,11.11,268516.0,5.1,205731.0,3.9
slovenia,14.78,19.7,9.96,23.96,37.72,10.6,31.35,42.59,99864.0,5.1,74661.0,3.8
solomon islands,26.74,28.92,24.42,6.84,9.32,4.24,23.72,58.04,16535.0,2.9,17879.0,3.1
somalia,22.66,22.52,22.82,4.64,6.2,3.1,9.54,0.0,420387.0,4.0,308684.0,2.9
south africa,27.82,33.4,23.1,11.8,18.56,5.24,10.88,0.0,2402230.0,4.6,1768851.0,3.4
south sudan,21.16,21.72,20.64,4.18,5.48,2.86,16.81,22.92,529011.0,4.4,369254.0,3.1
spain,11.28,15.76,6.96,8.1,12.26,4.1,26.67,-1.16,2408700.0,5.2,1911186.0,4.1
sri lanka,18.4,23.32,13.8,20.08,31.88,8.74,19.07,49.31,802321.0,4.1,669259.0,3.4
sudan,27.48,29.32,25.72,8.08,12.18,3.98,12.75,-2.53,1376305.0,3.6,1578125.0,4.1
suriname,23.92,28.28,19.82,24.72,38.08,11.26,22.5,2.98,24914.0,4.8,30273.0,5.8
sweden,10.76,12.64,8.92,15.56,20.62,10.5,31.06,5.13,446734.0,4.9,441926.0,4.8
